rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,group_mix,controls
1520440547503326370,,311,,1520440547,487132232,'',0,"[-0.005843198858201504, -0.052479248493909836, 0.018494870513677597, 0.5081693530082703, 0.0, 0.0, 0.0, -1.0]"
1520440547603824461,,312,,1520440547,589894944,'',0,"[0.01248745433986187, -0.04025384411215782, 0.019425325095653534, 0.5061260461807251, 0.0, 0.0, 0.0, -1.0]"
1520440547697781851,,313,,1520440547,683691944,'',0,"[-0.006607363000512123, -0.056247297674417496, 0.01833179220557213, 0.5132313370704651, 0.0, 0.0, 0.0, -1.0]"
1520440547802923525,,314,,1520440547,789163360,'',0,"[0.0005239751189947128, -0.03166802600026131, 0.019260233268141747, 0.5101967453956604, 0.0, 0.0, 0.0, -1.0]"
1520440547910585698,,315,,1520440547,894937440,'',0,"[0.012687766924500465, -0.03942226618528366, 0.021346066147089005, 0.512198269367218, 0.0, 0.0, 0.0, -1.0]"
1520440548008351615,,316,,1520440547,995263896,'',0,"[0.006901867222040892, -0.03513406589627266, 0.019202973693609238, 0.5219258666038513, 0.0, 0.0, 0.0, -1.0]"
1520440548166121743,,317,,1520440548,99508280,'',0,"[0.004163376055657864, -0.048712704330682755, 0.02011651173233986, 0.5289132595062256, 0.0, 0.0, 0.0, -1.0]"
1520440548212959746,,318,,1520440548,199230056,'',0,"[-0.00935947336256504, -0.032517824321985245, 0.021871760487556458, 0.5276995301246643, 0.0, 0.0, 0.0, -1.0]"
1520440548333102082,,319,,1520440548,303244056,'',0,"[-0.011909222230315208, -0.03709860518574715, 0.02157999761402607, 0.5307220220565796, 0.0, 0.0, 0.0, -1.0]"
1520440548407579537,,320,,1520440548,397403624,'',0,"[-0.012013690546154976, -0.059070367366075516, 0.024383187294006348, 0.5249344706535339, 0.0, 0.0, 0.0, -1.0]"
1520440548502222262,,321,,1520440548,497468336,'',0,"[0.005282585974782705, -0.04831177368760109, 0.0239952951669693, 0.5145509839057922, 0.0, 0.0, 0.0, -1.0]"
1520440548621672368,,322,,1520440548,597305752,'',0,"[0.014137215912342072, -0.016557365655899048, 0.023028504103422165, 0.5207490921020508, 0.0, 0.0, 0.0, -1.0]"
1520440548735979714,,323,,1520440548,704518912,'',0,"[-1.22936035040766e-05, -0.03914475440979004, 0.02520138770341873, 0.5192154049873352, 0.0, 0.0, 0.0, -1.0]"
1520440548846096595,,324,,1520440548,813516320,'',0,"[0.01569845713675022, -0.024040985852479935, 0.02480444498360157, 0.5210598707199097, 0.0, 0.0, 0.0, -1.0]"
1520440548924159934,,325,,1520440548,905219784,'',0,"[-0.010544577613472939, -0.025252871215343475, 0.02597605623304844, 0.5146996974945068, 0.0, 0.0, 0.0, -1.0]"
1520440549022632101,,326,,1520440549,10928488,'',0,"[0.007209103554487228, -0.014365524053573608, 0.026236049830913544, 0.5389861464500427, 0.0, 0.0, 0.0, -1.0]"
1520440549115322070,,327,,1520440549,98210712,'',0,"[0.017444636672735214, -0.05260400101542473, 0.027106206864118576, 0.5527422428131104, 0.0, 0.0, 0.0, -1.0]"
1520440549220310496,,328,,1520440549,197291208,'',0,"[0.009707098826766014, -0.05393058434128761, 0.025826651602983475, 0.5408647656440735, 0.0, 0.0, 0.0, -1.0]"
1520440549333793655,,329,,1520440549,307383488,'',0,"[-0.00225850660353899, -0.011305520310997963, 0.02557247132062912, 0.5193983912467957, 0.0, 0.0, 0.0, -1.0]"
1520440549450703819,,330,,1520440549,405992576,'',0,"[0.019432036206126213, -0.0313369482755661, 0.025973891839385033, 0.5174447894096375, 0.0, 0.0, 0.0, -1.0]"
1520440549512026006,,331,,1520440549,510083576,'',0,"[0.0016037373570725322, -0.02861558273434639, 0.026991333812475204, 0.5240015983581543, 0.0, 0.0, 0.0, -1.0]"
1520440549612029121,,332,,1520440549,602200176,'',0,"[-0.010853322222828865, -0.034530144184827805, 0.026306122541427612, 0.526518702507019, 0.0, 0.0, 0.0, -1.0]"
1520440549745303643,,333,,1520440549,701301344,'',0,"[0.007921716198325157, -0.03833841532468796, 0.028737766668200493, 0.5300059914588928, 0.0, 0.0, 0.0, -1.0]"
1520440549819006932,,334,,1520440549,820101920,'',0,"[0.008714061230421066, -0.050515398383140564, 0.026642533019185066, 0.5230860710144043, 0.0, 0.0, 0.0, -1.0]"
1520440549948514799,,335,,1520440549,907717916,'',0,"[0.023688480257987976, -0.0314239002764225, 0.02607794664800167, 0.5201790928840637, 0.0, 0.0, 0.0, -1.0]"
1520440550050682562,,336,,1520440550,7717640,'',0,"[-0.007503243163228035, -0.040974847972393036, 0.02705019898712635, 0.5346251130104065, 0.0, 0.0, 0.0, -1.0]"
